Frame,Time (s),X (m),Y (m),Z (m),RotX (deg),RotY (deg),RotZ (deg)
1,0.0417,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
2,0.0833,7.35889,-6.92579,4.95831,89.88,-0.0,0.0
3,0.125,7.35889,-6.92579,4.95831,89.53,-0.0,0.0
4,0.1667,7.35889,-6.92579,4.95831,88.97,-0.0,0.0
5,0.2083,7.35889,-6.92579,4.95831,88.21,-0.0,0.0
6,0.25,7.35889,-6.92579,4.95831,87.26,-0.0,0.0
7,0.2917,7.35889,-6.92579,4.95831,86.13,-0.0,0.0
8,0.3333,7.35889,-6.92579,4.95831,84.85,-0.0,0.0
9,0.375,7.35889,-6.92579,4.95831,83.43,-0.0,0.0
10,0.4167,7.35889,-6.92579,4.95831,81.87,-0.0,0.0
11,0.4583,7.35889,-6.92579,4.95831,80.2,-0.0,0.0
12,0.5,7.35889,-6.92579,4.95831,78.43,-0.0,0.0
13,0.5417,7.35889,-6.92579,4.95831,76.56,-0.0,0.0
14,0.5833,7.35889,-6.92579,4.95831,74.63,-0.0,0.0
15,0.625,7.35889,-6.92579,4.95831,72.63,-0.0,0.0
16,0.6667,7.35889,-6.92579,4.95831,70.58,-0.0,0.0
17,0.7083,7.35889,-6.92579,4.95831,68.51,-0.0,0.0
18,0.75,7.35889,-6.92579,4.95831,66.42,-0.0,0.0
19,0.7917,7.35889,-6.92579,4.95831,64.32,-0.0,0.0
20,0.8333,7.35889,-6.92579,4.95831,62.23,-0.0,0.0
21,0.875,7.35889,-6.92579,4.95831,60.17,-0.0,0.0
22,0.9167,7.35889,-6.92579,4.95831,58.14,-0.0,0.0
23,0.9583,7.35889,-6.92579,4.95831,56.17,-0.0,0.0
24,1.0,7.35889,-6.92579,4.95831,54.26,-0.0,0.0
25,1.0417,7.35889,-6.92579,4.95831,52.44,-0.0,0.0
26,1.0833,7.35889,-6.92579,4.95831,50.7,-0.0,0.0
27,1.125,7.35889,-6.92579,4.95831,49.08,-0.0,0.0
28,1.1667,7.35889,-6.92579,4.95831,47.58,-0.0,0.0
29,1.2083,7.35889,-6.92579,4.95831,46.21,-0.0,0.0
30,1.25,7.35889,-6.92579,4.95831,45.0,-0.0,0.0
31,1.2917,7.35889,-6.92579,4.95831,43.94,-0.0,0.0
32,1.3333,7.35889,-6.92579,4.95831,43.02,-0.0,0.0
33,1.375,7.35889,-6.92579,4.95831,42.21,-0.0,0.0
34,1.4167,7.35889,-6.92579,4.95831,41.47,-0.0,0.0
35,1.4583,7.35889,-6.92579,4.95831,40.78,-0.0,0.0
36,1.5,7.35889,-6.92579,4.95831,40.1,-0.0,0.0
37,1.5417,7.35889,-6.92579,4.95831,39.42,-0.0,0.0
38,1.5833,7.35889,-6.92579,4.95831,38.69,-0.0,0.0
39,1.625,7.35889,-6.92579,4.95831,37.89,-0.0,0.0
40,1.6667,7.35889,-6.92579,4.95831,37.0,-0.0,0.0
41,1.7083,7.35889,-6.92579,4.95831,35.97,-0.0,0.0
42,1.75,7.35889,-6.92579,4.95831,34.79,-0.0,0.0
43,1.7917,7.35889,-6.92579,4.95831,33.42,-0.0,0.0
44,1.8333,7.35889,-6.92579,4.95831,31.83,-0.0,0.0
45,1.875,7.35889,-6.92579,4.95831,30.0,-0.0,0.0
46,1.9167,7.35889,-6.92579,4.95831,27.9,-0.0,0.0
47,1.9583,7.35889,-6.92579,4.95831,25.59,-0.0,0.0
48,2.0,7.35889,-6.92579,4.95831,23.1,-0.0,0.0
49,2.0417,7.35889,-6.92579,4.95831,20.51,-0.0,0.0
50,2.0833,7.35889,-6.92579,4.95831,17.85,-0.0,0.0
51,2.125,7.35889,-6.92579,4.95831,15.19,-0.0,0.0
52,2.1667,7.35889,-6.92579,4.95831,12.58,-0.0,0.0
53,2.2083,7.35889,-6.92579,4.95831,10.08,-0.0,0.0
54,2.25,7.35889,-6.92579,4.95831,7.73,-0.0,0.0
55,2.2917,7.35889,-6.92579,4.95831,5.59,-0.0,0.0
56,2.3333,7.35889,-6.92579,4.95831,3.72,-0.0,0.0
57,2.375,7.35889,-6.92579,4.95831,2.18,-0.0,0.0
58,2.4167,7.35889,-6.92579,4.95831,1.0,-0.0,0.0
59,2.4583,7.35889,-6.92579,4.95831,0.26,-0.0,0.0
60,2.5,7.35889,-6.92579,4.95831,0.0,-0.0,0.0
61,2.5417,7.35889,-6.92579,4.95831,0.07,-0.0,0.0
62,2.5833,7.35889,-6.92579,4.95831,0.29,-0.0,0.0
63,2.625,7.35889,-6.92579,4.95831,0.65,-0.0,0.0
64,2.6667,7.35889,-6.92579,4.95831,1.15,-0.0,0.0
65,2.7083,7.35889,-6.92579,4.95831,1.77,-0.0,0.0
66,2.75,7.35889,-6.92579,4.95831,2.52,-0.0,0.0
67,2.7917,7.35889,-6.92579,4.95831,3.39,-0.0,0.0
68,2.8333,7.35889,-6.92579,4.95831,4.37,-0.0,0.0
69,2.875,7.35889,-6.92579,4.95831,5.47,-0.0,0.0
70,2.9167,7.35889,-6.92579,4.95831,6.67,-0.0,0.0
71,2.9583,7.35889,-6.92579,4.95831,7.97,-0.0,0.0
72,3.0,7.35889,-6.92579,4.95831,9.36,-0.0,0.0
73,3.0417,7.35889,-6.92579,4.95831,10.84,-0.0,0.0
74,3.0833,7.35889,-6.92579,4.95831,12.41,-0.0,0.0
75,3.125,7.35889,-6.92579,4.95831,14.06,-0.0,0.0
76,3.1667,7.35889,-6.92579,4.95831,15.79,-0.0,0.0
77,3.2083,7.35889,-6.92579,4.95831,17.58,-0.0,0.0
78,3.25,7.35889,-6.92579,4.95831,19.44,-0.0,0.0
79,3.2917,7.35889,-6.92579,4.95831,21.36,-0.0,0.0
80,3.3333,7.35889,-6.92579,4.95831,23.33,-0.0,0.0
81,3.375,7.35889,-6.92579,4.95831,25.36,-0.0,0.0
82,3.4167,7.35889,-6.92579,4.95831,27.43,-0.0,0.0
83,3.4583,7.35889,-6.92579,4.95831,29.54,-0.0,0.0
84,3.5,7.35889,-6.92579,4.95831,31.68,-0.0,0.0
85,3.5417,7.35889,-6.92579,4.95831,33.85,-0.0,0.0
86,3.5833,7.35889,-6.92579,4.95831,36.05,-0.0,0.0
87,3.625,7.35889,-6.92579,4.95831,38.27,-0.0,0.0
88,3.6667,7.35889,-6.92579,4.95831,40.51,-0.0,0.0
89,3.7083,7.35889,-6.92579,4.95831,42.75,-0.0,0.0
90,3.75,7.35889,-6.92579,4.95831,45.0,-0.0,0.0
91,3.7917,7.35889,-6.92579,4.95831,47.25,-0.0,0.0
92,3.8333,7.35889,-6.92579,4.95831,49.49,-0.0,0.0
93,3.875,7.35889,-6.92579,4.95831,51.73,-0.0,0.0
94,3.9167,7.35889,-6.92579,4.95831,53.95,-0.0,0.0
95,3.9583,7.35889,-6.92579,4.95831,56.15,-0.0,0.0
96,4.0,7.35889,-6.92579,4.95831,58.32,-0.0,0.0
97,4.0417,7.35889,-6.92579,4.95831,60.46,-0.0,0.0
98,4.0833,7.35889,-6.92579,4.95831,62.57,-0.0,0.0
99,4.125,7.35889,-6.92579,4.95831,64.64,-0.0,0.0
100,4.1667,7.35889,-6.92579,4.95831,66.67,-0.0,0.0
101,4.2083,7.35889,-6.92579,4.95831,68.64,-0.0,0.0
102,4.25,7.35889,-6.92579,4.95831,70.56,-0.0,0.0
103,4.2917,7.35889,-6.92579,4.95831,72.42,-0.0,0.0
104,4.3333,7.35889,-6.92579,4.95831,74.21,-0.0,0.0
105,4.375,7.35889,-6.92579,4.95831,75.94,-0.0,0.0
106,4.4167,7.35889,-6.92579,4.95831,77.59,-0.0,0.0
107,4.4583,7.35889,-6.92579,4.95831,79.16,-0.0,0.0
108,4.5,7.35889,-6.92579,4.95831,80.64,-0.0,0.0
109,4.5417,7.35889,-6.92579,4.95831,82.03,-0.0,0.0
110,4.5833,7.35889,-6.92579,4.95831,83.33,-0.0,0.0
111,4.625,7.35889,-6.92579,4.95831,84.53,-0.0,0.0
112,4.6667,7.35889,-6.92579,4.95831,85.63,-0.0,0.0
113,4.7083,7.35889,-6.92579,4.95831,86.61,-0.0,0.0
114,4.75,7.35889,-6.92579,4.95831,87.48,-0.0,0.0
115,4.7917,7.35889,-6.92579,4.95831,88.23,-0.0,0.0
116,4.8333,7.35889,-6.92579,4.95831,88.85,-0.0,0.0
117,4.875,7.35889,-6.92579,4.95831,89.35,-0.0,0.0
118,4.9167,7.35889,-6.92579,4.95831,89.71,-0.0,0.0
119,4.9583,7.35889,-6.92579,4.95831,89.93,-0.0,0.0
120,5.0,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
121,5.0417,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
122,5.0833,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
123,5.125,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
124,5.1667,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
125,5.2083,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
126,5.25,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
127,5.2917,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
128,5.3333,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
129,5.375,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
130,5.4167,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
131,5.4583,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
132,5.5,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
133,5.5417,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
134,5.5833,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
135,5.625,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
136,5.6667,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
137,5.7083,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
138,5.75,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
139,5.7917,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
140,5.8333,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
141,5.875,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
142,5.9167,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
143,5.9583,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
144,6.0,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
145,6.0417,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
146,6.0833,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
147,6.125,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
148,6.1667,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
149,6.2083,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
150,6.25,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
151,6.2917,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
152,6.3333,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
153,6.375,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
154,6.4167,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
155,6.4583,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
156,6.5,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
157,6.5417,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
158,6.5833,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
159,6.625,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
160,6.6667,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
161,6.7083,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
162,6.75,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
163,6.7917,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
164,6.8333,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
165,6.875,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
166,6.9167,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
167,6.9583,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
168,7.0,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
169,7.0417,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
170,7.0833,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
171,7.125,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
172,7.1667,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
173,7.2083,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
174,7.25,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
175,7.2917,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
176,7.3333,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
177,7.375,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
178,7.4167,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
179,7.4583,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
180,7.5,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
181,7.5417,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
182,7.5833,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
183,7.625,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
184,7.6667,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
185,7.7083,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
186,7.75,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
187,7.7917,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
188,7.8333,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
189,7.875,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
190,7.9167,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
191,7.9583,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
192,8.0,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
193,8.0417,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
194,8.0833,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
195,8.125,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
196,8.1667,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
197,8.2083,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
198,8.25,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
199,8.2917,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
200,8.3333,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
201,8.375,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
202,8.4167,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
203,8.4583,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
204,8.5,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
205,8.5417,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
206,8.5833,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
207,8.625,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
208,8.6667,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
209,8.7083,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
210,8.75,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
211,8.7917,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
212,8.8333,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
213,8.875,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
214,8.9167,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
215,8.9583,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
216,9.0,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
217,9.0417,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
218,9.0833,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
219,9.125,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
220,9.1667,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
221,9.2083,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
222,9.25,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
223,9.2917,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
224,9.3333,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
225,9.375,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
226,9.4167,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
227,9.4583,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
228,9.5,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
229,9.5417,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
230,9.5833,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
231,9.625,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
232,9.6667,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
233,9.7083,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
234,9.75,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
235,9.7917,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
236,9.8333,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
237,9.875,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
238,9.9167,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
239,9.9583,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
240,10.0,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
241,10.0417,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
242,10.0833,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
243,10.125,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
244,10.1667,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
245,10.2083,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
246,10.25,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
247,10.2917,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
248,10.3333,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
249,10.375,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
250,10.4167,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
